Taxon,Sex,BodySize,BodyColor,BodyHair,SMC,BasalVein,RecurrentVein,Scopae,Family,TergalBands,Unique,HairBandPos,Fovea,Claws,AntLow,Parap,WingCells,Ash,Clypeus
Lasioglossum,male | female,[4-11],brown or black | faint metallic,moderate,3,arched,n/a,hind legs (f),Halictidae,distinct,novalue,basal,absent,n/a,no,n/a,n/a,n/a,long
Halictus,male | female,[5-11],brown or black | faint metallic,moderate,3,arched,n/a,hind legs (f),Halictidae,distinct,novalue,apical,absent,n/a,no,n/a,n/a,n/a,long
Agapostemon,male | female,10,metallic,moderate,3,arched,n/a,hind legs (f),Halictidae,absent,novalue,n/a,absent,n/a,no,n/a,n/a,n/a,long
Dufourea,male | female,[6-9],brown or black,moderate,2,arched,n/a,hind legs (f),Halictidae,distinct,novalue,n/a,absent,n/a,yes,n/a,n/a,n/a,short
Sphecodes,male | female,[5-10],marked by color,little,2 | 3,arched,n/a,not evident (f),Halictidae,absent,Sphecodes,n/a,absent,n/a,no,n/a,n/a,n/a,short
Andrena,male | female,[5-15],brown or black | faint metallic | metallic,moderate,2 | 3,arched | straight,n/a,hind legs (f),Andrenidae,absent | distinct,novalue,n/a,appressed,n/a,novalue,n/a,n/a,n/a,long
Panurginus,male | female,[5-9],brown or black,moderate,2,straight,n/a,hind legs (f),Andrenidae,absent | distinct,novalue,n/a,naked,n/a,novalue,n/a,n/a,n/a,short
Eucera&Melissodes,male | female,[9-18],brown or black,moderate | very,3,straight,n/a,exaggerated (f) | hind legs (f),Apidae,distinct,long antennae,n/a,absent,n/a,novalue,n/a,hair,n/a,long
Ceratina,male | female,[4-6],metallic,little,2,arched | straight,n/a,not evident (f),Apidae,absent,novalue,n/a,absent,n/a,novalue,n/a,n/a,n/a,short
Bombus,male | female,[10-20],brown or black,moderate | very,3,straight,n/a,hind legs (f),Apidae,distinct,Bombus,n/a,absent,n/a,novalue,n/a,n/a,n/a,short
Triepeolus,male | female,[7-10],marked by color,little,3,straight,n/a,not evident (f),Apidae,distinct,novalue,n/a,absent,n/a,novalue,n/a,n/a,n/a,long
Megachile,male | female,[8-15],brown or black,moderate | very,2,straight,n/a,abdominal (f),Megachilidae,absent | distinct | hard to say,novalue,n/a,absent,absent,novalue,linear,n/a,no,long
Osmia,male | female,[5-15],metallic,moderate | very,2,straight,n/a,abdominal (f),Megachilidae,absent | distinct ,novalue,n/a,absent,present,novalue,dot,n/a,no,long
Anthidium,male | female,[6-12],marked by color,little | moderate,2,straight,n/a,abdominal (f),Megachilidae,absent,novalue,n/a,absent,present,novalue,linear,n/a,no,long
Dianthidium,male | female,[6-12],marked by color,little | moderate,2,straight,n/a,abdominal (f),Megachilidae,absent,novalue,n/a,absent,present,novalue,linear,n/a,no,long
Hoplitis,male | female,[7-13],brown or black,moderate,2,straight,n/a,abdominal (f),Megachilidae,absent | distinct ,novalue,n/a,absent,present,novalue,linear,n/a,no,long
Stelis,male | female,[5-10],marked by color,little,2,straight,n/a,not evident (f),Megachilidae,absent | distinct ,novalue,n/a,absent,present,novalue,linear,n/a,no,short
Coelioxys,male | female,[7-12],brown or black,little | moderate,2,straight,n/a,not evident (f),Megachilidae,absent,Coelioxys,n/a,absent,absent,novalue,linear,n/a,no,long
Nomada,male | female,[6-12],marked by color,little,2 | 3,straight,n/a,not evident (f),Apidae,absent,novalue,n/a,absent,n/a,novalue,n/a,n/a,n/a,short
Hylaeus,male | female,[5-7],brown or black,little,2,straight,n/a,not evident (f),Colletidae,absent,Hylaeus,n/a,naked,n/a,novalue,n/a,n/a,n/a,short
Colletes,male | female,[6-12],brown or black,moderate,3,straight,S-shape,hind legs (f),Colletidae,distinct,novalue,n/a,naked,n/a,novalue,n/a,n/a,n/a,short
Anthophora,male | female,[6-12],brown or black,moderate | very,3,straight,n/a,hind legs (f),Apidae,hard to say,novalue,n/a,absent,n/a,novalue,n/a,no hair,n/a,short
Ashmeadiella,male | female,[4-10],brown or black | marked by color,moderate,2,straight,n/a,abdominal (f),Megachilidae,absent | distinct,novalue,n/a,absent,n/a,novalue,n/a,n/a,yes,
Protosmia,male | female,6,brown or black,moderate,2,straight,n/a,abdominal (f),Megachilidae,hard to say,novalue,n/a,absent,present,novalue,linear,n/a,no,short
Diadasia,male | female,[4-6],brown or black,very,2,arched | straight,n/a,hind legs (f),Apidae,distinct,novalue,n/a,absent,n/a,novalue,n/a,n/a,n/a,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,